Year,Box Office Collection,IMDB Rating,metascore,time_minute,Target,Imdb_genre_Comedy,Imdb_genre_Drama,Imdb_genre_Horror,Imdb_genre_Sci-Fi,Imdb_genre_Thriller
2017,69679794.5,66.0,64.0,124.0,Flop,False,False,False,False,True
1986,12900000.0,72.0,70.0,60.0,Crowd Pleaser,False,False,False,True,False
1990,239813888.0,71.0,67.0,124.0,Flop,False,False,False,False,True
2005,829239.0,65.0,70.0,40.0,Flop,False,False,False,True,False
2017,15535771.0,79.0,70.0,44.0,Capolavoro Universale,False,True,False,False,False
1992,2041928.0,68.0,73.0,81.0,Gemma della Critica,False,False,False,False,True
1971,69679794.5,75.0,70.0,200.0,Capolavoro Universale,False,False,False,False,True
1986,357469522.0,69.0,50.0,110.0,Flop,False,True,False,False,False
1997,224117573.0,69.0,52.0,115.0,Flop,False,False,False,False,True
2012,311979256.0,66.0,51.0,103.0,Flop,False,False,False,False,True
2005,69679794.5,65.0,55.0,120.0,Flop,True,False,False,False,False
1998,245300000.0,70.0,60.0,98.0,Flop,True,False,False,False,False
2014,192903624.0,50.0,70.0,43.0,Flop,False,True,False,False,False
2016,1151918521.0,78.0,75.0,147.0,Capolavoro Universale,False,False,False,True,False
1997,315268353.0,65.0,61.0,124.0,Flop,False,True,False,False,False
1988,11806119.0,68.0,29.0,92.0,Flop,False,True,False,False,False
1998,131237688.0,71.0,47.0,120.0,Flop,False,False,True,False,False
1995,141247413.0,68.0,41.0,119.0,Flop,True,False,False,False,False
1987,38122000.0,66.0,45.0,101.0,Flop,False,False,False,True,False
1985,20345361.0,60.0,64.0,101.0,Flop,False,False,False,False,True
2007,26796824.0,66.0,49.0,86.0,Flop,True,False,False,False,False
2006,43924923.0,69.0,57.0,88.0,Flop,False,False,False,False,True
2010,46370970.0,66.0,60.0,105.0,Flop,False,False,False,False,True
2011,81357930.0,78.0,78.0,100.0,Capolavoro Universale,False,True,False,False,False
1989,411348924.0,75.0,70.0,25.0,Crowd Pleaser,True,False,False,False,False
1992,156563139.0,65.0,58.0,103.0,Flop,False,False,False,False,True
1996,817400878.0,70.0,59.0,145.0,Flop,False,False,False,False,False
1968,42300945.0,74.0,81.0,114.0,Capolavoro Universale,False,False,False,False,True
2008,342416460.0,76.0,70.0,60.0,Crowd Pleaser,False,True,False,False,False
1998,70692101.0,72.0,67.0,122.0,Crowd Pleaser,False,False,False,False,True
1988,13000774.0,72.0,55.0,94.0,Crowd Pleaser,False,False,True,False,False
1993,255000000.0,65.0,60.0,113.0,Flop,False,False,False,False,False
1979,22490943.0,76.0,65.0,93.0,Capolavoro Universale,False,False,False,False,True
1997,121100000.0,73.0,51.0,129.0,Crowd Pleaser,False,False,False,True,False
1991,126704591.0,72.0,58.0,122.0,Crowd Pleaser,False,False,False,False,True
1996,33447612.0,68.0,44.0,121.0,Flop,False,True,False,False,False
2014,2107051.0,67.0,76.0,100.0,Gemma della Critica,False,False,False,False,True
2008,226941585.0,65.0,70.0,41.0,Flop,False,True,False,False,False
2006,454161935.0,76.0,52.0,117.0,Crowd Pleaser,False,True,False,False,False
1994,365300000.0,73.0,63.0,141.0,Crowd Pleaser,True,False,False,False,False
1993,159055768.0,67.0,34.0,115.0,Flop,False,False,False,True,False
2015,17187434.0,67.0,51.0,96.0,Flop,False,False,False,True,False
1985,69679794.5,75.0,78.0,100.0,Capolavoro Universale,True,False,False,False,False
2001,69679794.5,70.0,57.0,142.0,Flop,False,True,False,False,False
2014,404561724.0,77.0,60.0,129.0,Crowd Pleaser,True,False,False,False,False
1997,263893838.0,76.0,52.0,126.0,Crowd Pleaser,False,False,False,True,False
2017,98345423.0,67.0,63.0,115.0,Flop,False,False,False,False,True
1995,36238752.0,67.0,61.0,87.0,Flop,True,False,False,False,False
2004,69679794.5,71.0,70.0,84.0,Flop,False,False,False,True,False
2003,69679794.5,71.0,69.0,105.0,Flop,False,False,False,False,True
2004,217602967.0,75.0,71.0,120.0,Capolavoro Universale,False,True,False,False,False
2000,69679794.5,76.0,81.0,114.0,Capolavoro Universale,False,True,False,False,False
2010,69679794.5,75.0,84.0,141.0,Capolavoro Universale,False,False,False,False,False
